1. Time,2. q_1,3. q_2,4. q_3,5. q_4,6. q_5,7. q_6,8. q_7,9. O_T_EE_11,10. O_T_EE_21,11. O_T_EE_31,12. O_T_EE_41,13. O_T_EE_12,14. O_T_EE_22,15. O_T_EE_32,16. O_T_EE_42,17. O_T_EE_13,18. O_T_EE_23,19. O_T_EE_33,20. O_T_EE_43,21. O_T_EE_14,22. O_T_EE_24,23. O_T_EE_34,24. O_T_EE_44,25. q_1_d,26. q_2_d,27. q_3_d,28. q_4_d,29. q_5_d,30. q_6_d,31. q_7_d,32. dq_1,33. dq_2,34. dq_3,35. dq_4,36. dq_5,37. dq_6,38. dq_7,39. dq_1_d,40. dq_2_d,41. dq_3_d,42. dq_4_d,43. dq_5_d,44. dq_6_d,45. dq_7_d,46. tau_J_1,47. tau_J_2,48. tau_J_3,49. tau_J_4,50. tau_J_5,51. tau_J_6,52. tau_J_7,53. joint_contact_1,54. joint_contact_2,55. joint_contact_3,56. joint_contact_4,57. joint_contact_5,58. joint_contact_6,59. joint_contact_7,60. joint_collision_1,61. joint_collision_2,62. joint_collision_3,63. joint_collision_4,64. joint_collision_5,65. joint_collision_6,66. joint_collision_7,67. cartesian_contact_x,68. cartesian_contact_y,69. cartesian_contact_z,70. cartesian_contact_R,71. cartesian_contact_P,72. cartesian_contact_Y,73. cartesian_collision_x,74. cartesian_collision_y,75. cartesian_collision_z,76. cartesian_collision_R,77. cartesian_collision_P,78. cartesian_collision_Y,79. tau_ext_1,80. tau_ext_2,81. tau_ext_3,82. tau_ext_4,83. tau_ext_5,84. tau_ext_6,85. tau_ext_7,86. O_F_ext_x,87. O_F_ext_y,88. O_F_ext_z,89. O_F_ext_R,90. O_F_ext_P,91. O_F_ext_Y,92. Gripper Width,93. Object Grasped
683.847,0.275417,0.0694578,-0.140783,-1.75514,0.0852768,1.70846,0.967221,0.990087,-0.0602251,-0.126815,0,-0.0671004,-0.99645,-0.0506559,0,-0.123317,0.0586642,-0.990632,0,0.552359,0.0926182,0.407679,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,0.000684419,0.00204481,0.000628607,-8.76752e-05,0.000251277,-7.55225e-05,-0.000929851,0,0,0,0,0,0,0,0.0811829,-32.5217,-0.0616905,23.4562,0.889061,2.33293,-0.0700806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984356,-0.638424,0.1649,1.02243,0.0585017,0.282993,-0.0980002,1.81686,0.339259,1.78117,0.0359264,-0.0156069,0.132098,0.0798868,0
683.881,0.275417,0.069455,-0.140783,-1.75515,0.0852768,1.70846,0.967217,0.990087,-0.0602208,-0.126816,0,-0.0670962,-0.99645,-0.0506566,0,-0.123318,0.0586644,-0.990632,0,0.552358,0.092618,0.407679,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,0.000265153,7.76973e-06,0.000213552,-0.00133839,5.62153e-06,-0.000463171,-0.0017562,0,0,0,0,0,0,0,0.0811829,-32.482,-0.0616905,23.4959,0.889061,2.343,-0.0600098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934525,-0.656875,0.158871,1.0239,0.0595831,0.285263,-0.0961931,1.76406,0.326063,1.78194,0.0449052,-0.0510731,0.126609,0.0798868,0
683.915,0.275415,0.0694497,-0.140783,-1.75514,0.0852768,1.70846,0.967219,0.990088,-0.0602252,-0.126807,0,-0.0671004,-0.99645,-0.0506591,0,-0.123308,0.0586668,-0.990633,0,0.552359,0.0926166,0.407684,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,-0.000906816,-0.000938294,0.000917124,-0.000559467,0.00011554,8.01301e-05,-0.00223721,0,0,0,0,0,0,0,0.116888,-32.4067,-0.0616905,23.4562,0.889061,2.32286,-0.049939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10449,-0.648593,0.169373,1.02137,0.0611622,0.285467,-0.101028,1.77786,0.338901,1.77295,0.0393024,-0.0382529,0.137365,0.0798868,0
683.949,0.275417,0.0694497,-0.140786,-1.75514,0.0852757,1.70846,0.96722,0.990088,-0.0602265,-0.126805,0,-0.0671015,-0.99645,-0.0506579,0,-0.123307,0.0586657,-0.990633,0,0.552359,0.0926163,0.407684,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,0.000765486,-0.000939109,-0.000227025,-0.000165277,-0.00429044,-0.000274503,-0.00187253,0,0,0,0,0,0,0,0.0811829,-32.4067,-0.0220177,23.4562,0.898217,2.32286,-0.0600098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10909,-0.643767,0.176749,1.02104,0.0621137,0.282728,-0.0944904,1.78875,0.361805,1.77925,0.0249622,-0.0314923,0.143528,0.0798868,0
683.983,0.275412,0.0694525,-0.140786,-1.75514,0.0852768,1.70846,0.967229,0.990087,-0.0602406,-0.126804,0,-0.0671156,-0.996449,-0.0506577,0,-0.123305,0.0586673,-0.990633,0,0.552361,0.0926138,0.407684,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,-0.00020863,0.000316519,-0.000401522,0.0023314,0.000151029,-0.00011291,0.00182253,0,0,0,0,0,0,0,0.116888,-32.4463,-0.0220177,23.3808,0.889061,2.32286,-0.139661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10144,-0.584269,0.173087,0.977488,0.0594032,0.275804,-0.0966282,1.81317,0.350524,1.68507,0.0221934,0.0366255,0.137477,0.0798868,0
684.017,0.275415,0.0694525,-0.140786,-1.75514,0.0852779,1.70846,0.967223,0.990087,-0.0602327,-0.12681,0,-0.0671081,-0.996449,-0.0506582,0,-0.123311,0.0586671,-0.990632,0,0.552359,0.0926153,0.407682,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,-0.000111637,0.000298585,-0.000788462,-0.000628411,0.000446907,5.27581e-06,-0.000595915,0,0,0,0,0,0,0,0.116888,-32.4463,-0.0220177,23.4562,0.879906,2.32286,-0.0902222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10476,-0.631062,0.174007,1.01392,0.0596307,0.281184,-0.0917486,1.80161,0.361476,1.76524,0.0208332,-0.0151982,0.139997,0.0798868,0
684.051,0.275415,0.0694525,-0.140783,-1.75514,0.0852779,1.70846,0.967226,0.990087,-0.0602321,-0.126806,0,-0.0671073,-0.996449,-0.0506589,0,-0.123307,0.0586675,-0.990633,0,0.55236,0.092617,0.407683,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,-0.000396423,0.000411072,0.00109386,0.000489552,0.000146117,0.000376402,0.00141661,0,0,0,0,0,0,0,0.116888,-32.4463,-0.0616905,23.4205,0.879906,2.31279,-0.139661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115508,-0.63851,0.178354,1.02371,0.0585472,0.282811,-0.0941179,1.81235,0.372398,1.78478,0.0150869,-0.0199865,0.147752,0.0798868,0
684.085,0.275415,0.0694497,-0.140783,-1.75514,0.0852768,1.70846,0.967226,0.990087,-0.0602319,-0.126806,0,-0.067107,-0.996449,-0.0506584,0,-0.123307,0.058667,-0.990633,0,0.552359,0.0926167,0.407684,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,2.36994e-05,-0.000899162,0.000617943,-0.000501774,1.61196e-05,0.000662481,0.000762504,0,0,0,0,0,0,0,0.116888,-32.4067,-0.0616905,23.4562,0.889061,2.31279,-0.110364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105546,-0.641131,0.178526,1.01901,0.0601915,0.282425,-0.0972795,1.79059,0.35508,1.77447,0.0276607,-0.0279864,0.142548,0.0798868,0
684.119,0.275415,0.0694525,-0.140791,-1.75514,0.0852758,1.70846,0.967228,0.990087,-0.0602415,-0.126803,0,-0.0671163,-0.996449,-0.0506568,0,-0.123303,0.0586663,-0.990633,0,0.552361,0.0926125,0.407685,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,-0.00126749,7.40311e-05,-0.00205176,0.00120195,-9.01123e-06,0.000423401,0.00165919,0,0,0,0,0,0,0,0.116888,-32.4463,0.0493934,23.3808,0.898217,2.31279,-0.12959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989083,-0.64328,0.16381,1.01994,0.0609499,0.28356,-0.0960929,1.79101,0.339061,1.77474,0.037581,-0.0288295,0.131788,0.0798868,0
684.153,0.275417,0.069455,-0.140788,-1.75514,0.0852768,1.70846,0.96723,0.990087,-0.0602391,-0.126806,0,-0.0671141,-0.996449,-0.0506568,0,-0.123306,0.0586662,-0.990633,0,0.552361,0.0926155,0.407683,1,0.27543,0.069416,-0.140781,-1.75511,0.0852851,1.70846,0.967222,0.000137477,0.00134986,-0.000885718,0.00149203,6.83671e-05,0.00028512,0.00222469,0,0,0,0,0,0,0,0.0811829,-32.482,0.0136879,23.3808,0.889061,2.31279,-0.149731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101988,-0.629299,0.169791,1.01715,0.0604758,0.283213,-0.0960161,1.82241,0.351211,1.76694,0.0292026,-0.00505187,0.136314,0.0798868,0
